,Obs_mean,Economic infrastructure and services,Multi-sector / Cross-cutting,Production sectors,Social infrastructure and services,OECD,KOICA,Guerra de Corea,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_2023,TLC,balanza_2005,balanza_2006,balanza_2007,balanza_2008,balanza_2009,balanza_2010,balanza_2011,balanza_2012,balanza_2013,balanza_2014,balanza_2015,balanza_2016,balanza_2017,balanza_2018,balanza_2019,balanza_2020,balanza_2021,balanza_2022,balanza_2023,balanza_2024,hdr_value
Fiji,511812.63056863233,1,1,1,1,0,0,0,1833279985.367415,2300492465.322761,2708078476.630121,2980403844.7209597,3076305452.8650646,3378314599.764019,3523185919.558261,2870624635.6803193,3140166712.796239,3779411899.374834,3972028104.4732842,4189967998.514236,4857104791.416095,4682479912.052034,4930213634.356918,5353469171.061095,5581425324.911851,5444407214.31758,4432466237.0958805,4305031630.818084,4969503560.773496,5442046565.047186,0,17.013,16.775,22.945,27.764,14.423,3.167,4.525,9.835,31.835,300.358,318.314,176.13,205.973,229.762,285.422,118.448,155.437,274.705,202.31,172.519,104
Saudi Arabia,0.080666,1,0,1,0,0,0,0,189605866666.66666,215807733333.33334,258742133333.33334,328459608764.1109,376900133511.34845,415964509673.1154,519796800000.0,429097866666.6667,528207200000.0,676634666666.6666,741849866666.6666,753864533333.3334,766605866666.6666,669484266666.6666,666000000000.0,714994666666.6666,846583733333.3334,838564800000.0,734271200000.0,874156000000.0,1108571466666.6667,1067582933333.3334,0,-14012645.0,-17573812.0,-17137665.0,-28528069.0,-15880266.0,-22263329.0,-30008313.0,-30595010.0,-28840928.0,-28437208.0,-10090654.0,-10078406.0,-14401724.0,-22378988.0,-18112878.0,-12678209.0,-20947244.0,-36775118.0,-27437849.0,-26266476.0,40
Zimbabwe,257670.44275066667,1,1,1,1,0,0,0,6342116400.0,5727591800.0,5805598400.0,5755215200.0,5443896500.0,5291950100.0,4415702800.0,9665793300.0,12041655200.0,14101920300.0,17114849900.000002,19091020000.0,19495519600.0,19963120600.0,20548678100.0,51074660513.37147,34156069918.06094,25717409842.447918,26867936444.682613,27240515108.8049,32789751736.332294,35231367885.85537,0,-2.427,-4.492,-35.797,-28.931,8.949,18.111,21.092,27.004,12.608,22.612,14.674,14.566,7.612,21.055,990.0,4.137,10.777,5.668,-1.299,8.238,159
Serbia,169262.22962202702,1,1,1,1,0,0,0,17930583571.30545,23593044417.508606,26845632341.807495,28334256180.880116,33298057361.74117,44888028946.08535,54220641201.647415,46955984409.72705,43536629233.14237,51251098408.09236,45103269969.41118,50455529604.06957,49114321280.34665,41297410634.9586,42225495909.56332,45972834713.80773,52787520248.924194,53864693664.55677,55874017668.998,66159884072.530846,66797564758.339,81342660752.3732,0,0.0,31.007,63.03,59.79,22.231,-23.14,-122.61,-174.125,-11.7,-37.272,-42.434,50.745,31.006,92.376,-99.111,38.85,57.451,51.732,147.85,-53.193,65
Brazil,139435.7589628049,1,1,1,1,0,0,0,509795273806.7151,558233745651.8737,669289424806.307,891633839853.1047,1107626541710.7407,1397114486471.384,1695855083552.0544,1666996438681.463,2208837745214.2334,2616156223977.466,2465227803011.568,2472819535742.7266,2456043727198.8545,1802212206904.6777,1795693482652.5151,2063514977334.3206,1916933898038.3572,1873288205186.4495,1476107231194.106,1670647399034.6658,1951923942083.3196,2173665655937.2737,0,-90.098,356.528,693.765,1545406.0,1567707.0,3040494.0,5478465.0,4200701.0,4116493.0,4015552.0,1435478.0,1013730.0,1804035.0,979.639,512.063,-292.723,-1952933.0,-2954674.0,-2380482.0,-2043457.0,89
Haiti,522821.4861939,1,1,1,1,0,0,0,6205847213.635101,5071947798.272632,6087360684.2969,7030149730.336923,7638739122.672419,9228637767.69009,10432962634.874826,11597002834.778614,11859312725.144835,13008746038.8867,13708925477.130407,14902488604.242088,15146883497.633091,14849629308.602478,14069277526.227812,15093357161.149847,16403864617.84576,15016090929.512514,14508222518.301786,20877414952.63745,20253551920.551617,19850829757.541847,0,14.542,13.904,51.171,10.63,14.199,51.838,31.872,18.164,16.677,36.486,42.442,49.65,72.426,83.028,56.048,61.48,81.285,57.759,40.1,16.455,158
Somalia,165527.93349449997,1,0,1,1,0,0,0,2192684134.5927277,2836724351.561596,3859592813.1025543,4683246454.100484,5026743282.042513,5430713728.89074,5913620292.905734,2948594552.4495163,2687807003.73935,2906000096.932491,4364670160.001464,5062881613.128329,5728399710.563331,6152149080.001677,6613743089.999321,7621501720.000208,7873440838.365593,8655023960.001995,8628393719.999224,9483997404.252272,10202767269.960297,10968517090.000368,0,1.651,904.0,256.0,7.0,716.0,863.0,898.0,1.401,2.013,4.039,-1.0,6.792,13.159,13.732,20.914,15.515,13.392,11.593,12.658,11.945,193
Myanmar,6619283.572642583,1,1,1,1,0,1,0,6777632512.078098,10467109977.671677,10567354056.404905,11986972418.5103,14502553709.830305,20182477480.551235,31862554101.937805,36906181380.81268,49540813342.4834,59977326085.99077,59937796648.21576,60269732854.82703,65531374199.674164,59607290407.59435,63298361996.2153,66053040483.001625,67860515989.517044,75065106227.6892,79006113643.19055,66345291160.16825,62253049891.64494,66757619000.0,1,63.756,24.878,211.292,127.561,327.803,318.917,368.061,979.728,217.804,220.902,154.384,302.171,109.922,-2.054,37.07,144.428,-78.062,-244.76,155.662,-234.088,144
Armenia,45388.24559228125,1,1,1,1,0,0,0,2376335048.399756,2807061008.6908445,3576615240.4161587,4900469511.1019125,6384452066.514603,9206301269.791636,11662040713.875309,8647937081.256197,9260285755.624237,10142111824.583546,10619320682.947443,11121464437.04153,11609513246.795767,10553337518.414,10546136235.521862,11527458709.015797,12457940694.73953,13619290539.211607,12641698583.215239,13878908628.937809,19513506553.125072,24085749592.335915,0,3.057,2.877,10.385,28.943,35.89,12.904,24.029,23.64,19.504,11.301,4.336,3.724,615.0,1.217,-4.014,-10.478,-24.535,1.555,-61.27,-32.734,76
Algeria,456048.92218365625,1,1,1,1,0,0,0,61516103406.16878,73482264190.92455,91913680985.17082,107046618669.707,123084258693.00974,142482739809.84927,180383848331.13458,150317292079.35913,177785053939.53052,218331946925.30356,227143746075.93402,229701430292.1566,238942664192.59,187493855609.34464,180763839522.15082,189880896903.0733,194554483655.52774,193459662090.67682,164873415325.20148,186231205262.08237,225638456572.14276,247626161016.41446,0,173.976,-186.934,121.583,18.34,406.56,1208706.0,991.809,828.676,130.442,-530.727,-14.368,866.233,528.645,-1015425.0,-1045083.0,-649.599,-1705597.0,-3138490.0,-2868724.0,-3341837.0,93
