,Obs_mean,Economic infrastructure and services,Multi-sector / Cross-cutting,Production sectors,Social infrastructure and services,OECD,KOICA,Guerra de Corea,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_2023,TLC,balanza_2005,balanza_2006,balanza_2007,balanza_2008,balanza_2009,balanza_2010,balanza_2011,balanza_2012,balanza_2013,balanza_2014,balanza_2015,balanza_2016,balanza_2017,balanza_2018,balanza_2019,balanza_2020,balanza_2021,balanza_2022,balanza_2023,balanza_2024,hdr_value
Dominican Republic,2672581.816717211,1,1,1,1,0,0,0,27137440786.256207,21403167848.144363,22322387382.494026,35777560683.93658,37879830084.26267,43965458508.50559,48122601530.3324,48261078913.72663,53860187257.959335,58029773599.45505,60681535652.537346,62682159338.03544,67179955677.279144,71164826836.5281,75704647877.65591,79998046305.79002,85555390139.11797,88941372558.23965,78844656298.17764,94243425938.36469,113537368176.1303,121444279313.93079,0,51.893,21.648,-5.796,35.381,56.969,92.95,56.722,44.175,76.039,92.304,186.471,224.743,148.017,102.981,164.157,110.045,219.297,246.082,178.581,227.425,82
Nigeria,888631.4169724854,1,1,1,1,0,0,0,95054059302.69946,104738954264.2257,135764731645.61142,175670569969.3456,238454997161.47983,278260846800.103,339476276257.7929,295008835380.9966,366990417129.0396,414466676831.15967,463971018239.2805,520117180313.906,574183763411.5076,493026682800.6295,404649125252.15955,375745731053.4268,421739251509.0796,474517490844.461,432198898467.79486,440833635873.82666,477403400101.17365,363846332834.6184,0,465.542,183.788,1932196.0,2426561.0,586.962,233.616,1687802.0,-611.867,-747.392,-1775564.0,-440.354,-67.525,1621369.0,-129.133,32.878,-233.186,-10.404,-904.191,-424.698,-963.192,161
El Salvador,2129690.14994225,1,1,1,1,0,0,0,12664190300.0,13243892200.0,13724810900.0,14698000000.0,15999890000.0,17011750000.0,17986890000.0,17601620000.0,18447920000.0,20283780000.0,21386150000.0,21990960000.0,22593470000.0,23438240000.0,24191430000.0,24979190000.0,26020850000.0,26881140000.0,24921190000.0,29043140000.0,31988920000.0,34015620000.0,1,70.557,80.939,79.581,59.691,36.541,41.106,51.825,76.935,135.625,81.605,114.837,115.514,139.841,142.023,110.121,58.905,156.303,138.877,137.338,163.778,127
Grenada,0.07397594444444444,1,1,1,1,0,0,0,540336925.9259259,591018407.4074074,599118592.5925926,695555555.5555555,698700666.6666666,758683592.5925926,825976037.037037,771275555.5555555,771014814.8148147,778655555.5555555,799881481.4814814,842618518.5185184,911496296.2962962,997007407.4074073,1061640740.7407407,1125685185.1851852,1166514814.8148148,1213485185.1851852,1043411111.111111,1122800000.0,1224577777.7777777,1316733333.3333333,0,3.297,2.012,1.479,1.486,1.584,2.127,2.45,1.647,2.493,2.726,2.379,2.481,2.577,2.413,2.71,1.467,2.18,2.743,4.198,4.079,73
Peru,1909243.4417032083,1,1,1,1,0,1,0,54777553515.08088,58731030121.867096,66768703497.56869,76060606060.60606,88643193061.748,102170981144.13551,120550599815.4414,120822986521.47932,147527631520.7292,171761737046.58508,192650021648.5832,201175543571.3918,200786250582.94272,189802976285.61893,191898104390.37863,211007984080.91058,222597009739.23532,228346006003.64822,201409694755.93436,226354278280.88464,246488757636.21066,267603248655.2527,1,32.796,-317.022,-573.727,-183.89,-277.938,-94.494,-582.736,-166.79,-542.804,-42.408,71.676,-138.785,-1219157.0,-1679948.0,-1575054.0,-2275521.0,-2655951.0,-2069271.0,-2247641.0,-1995601.0,87
Philippines,12524710.817203278,1,1,1,1,0,1,1,84307345887.543,87039092974.22725,95001999685.33144,107419977318.16573,127652926368.06917,155980408673.40317,181624626327.36093,175974755881.37238,208368893151.14383,234216730295.9377,261920540972.1021,283902828581.6499,297483555344.8018,306445871246.7178,318627003012.5201,328480736798.7918,346841896583.5147,376823402244.9279,361751145451.59674,394087359848.11,404353369604.6311,437146372729.94244,1,903.688,1743953.0,1982089.0,1916787.0,1915658.0,2349879.0,3767430.0,4926779.0,5078005.0,6713809.0,5080800.0,4049667.0,6892872.0,8492060.0,4707056.0,4040776.0,5762224.0,7128466.0,4363535.0,5811846.0,113
Belize,0.13736375,1,1,0,1,0,0,0,1244650000.0,1308900000.0,1400850000.0,1474950000.0,1591150000.0,1707100000.0,1738900000.0,1688500000.0,1745700000.0,1827050000.0,1909400000.0,2032750000.0,2138250000.0,2193050000.0,2240200000.0,2266300000.0,2293250000.0,2388300000.0,2042850000.0,2420550000.0,2846700000.0,3066850000.0,0,-1.583,3.138,-122.0,4.796,4.101,5.173,4.399,8.623,5.75,3.972,5.45,7.152,5.924,8.91,3.249,2.887,1.395,5.248,13.197,16.533,118
Ethiopia,9660520.874556292,1,1,1,1,0,1,1,7850809498.168027,8623691300.040789,10131187261.442078,12401139453.973831,15280861834.602404,19707616772.799637,27066912635.222847,32437389116.038006,29933790334.34179,31952763089.330025,43310721414.08288,47648276605.012314,55612228233.51786,64589328550.5953,74296745207.87209,81770886825.60477,84269196625.8784,95912607722.3032,107657734392.44585,111261882958.4261,126772703047.70143,163697927593.98236,0,18.262,60.368,68.317,90.116,65.027,38.777,87.174,83.249,69.293,99.478,58.048,43.414,51.718,50.473,35.024,46.577,59.75,-64.448,-38.846,21.934,176
Vanuatu,0.11244561904761904,0,1,1,1,0,0,0,262596535.54902846,314471413.00177616,364996869.129618,394962433.0293678,439358586.5355876,516392922.5137279,590748429.4019016,592622319.1456639,670712979.6820383,770153588.218833,747839697.7465929,758304466.2453394,772315983.8184297,730870802.9670509,780889605.899977,880061833.6903408,914736985.4309444,936526267.6225132,909421043.508407,950394006.5325141,1022219297.5033523,1126313359.2192256,0,2.472,1.714,3.254,5.063,2.706,535.682,-1.624,-540.0,3.28,-16.667,-438.0,-11.924,-1.65,-7.545,-11.905,-6.519,-10.377,-9.119,-7.219,5.056,140
Nauru,0.06941626315789474,1,1,1,1,0,0,0,21017423.608204268,24778159.58066395,30587565.798833407,30070666.065253343,29200359.389038637,22766972.18896587,37602264.73068721,44176245.549243264,47562844.61042507,65444173.776272535,100794924.67041717,94385014.94258416,98752257.04532222,84383388.64485732,97276023.07843463,108862278.51651081,130937589.75351675,124871111.37797281,124530027.30105427,175513984.50008395,156803087.3024961,154170289.32186124,0,10.722,8.849,5.913,-40.959,-3.701,-23.01,-35.314,-43.078,-22.92,-3.621,65.0,-3.731,-4.642,31.46,-737.0,-1.886,-17.034,-24.174,-16.79,-8.672,122
Solomon Islands,278202.71123391227,1,1,1,1,0,0,0,346406738.8852372,417668983.4083494,468005318.5519772,552864570.2258192,617258154.2601326,695295347.6215369,776337691.795098,805557562.5800586,898133684.8987929,1063895360.6990681,1185215418.2556212,1285911586.1320012,1335571420.7267592,1307909887.5521197,1379490304.2253969,1469789119.0875561,1615478393.2861407,1619155017.392397,1536145814.1700656,1522794913.091401,1566360686.1063213,1633319401.1941354,0,-28.682,-26.891,-23.731,-20.744,-10.354,-14.054,-10.77,-9.234,-11.416,-5.009,-4.466,4.857,11.206,13.351,39.528,25.413,-5.526,-4.3,-3.213,4.257,156
South Sudan,811182.2703936818,1,1,1,1,0,0,0,14080606755.744595,14080606755.744595,14080606755.744595,14080606755.744595,14080606755.744595,14080606755.744595,14586253383.063168,12231264525.067104,14602072410.950584,14907308932.75343,11931472169.491526,18426469016.94915,13962212847.457626,11997800760.224182,14080606755.744595,14080606755.744595,14080606755.744595,14080606755.744595,14080606755.744595,14080606755.744595,14080606755.744595,14080606755.744595,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,264.0,349.0,771.0,147.0,302.0,295.0,412.0,973.0,2.835,2.289,2.691,6.118,192
Panama,72703.80613503637,1,1,1,1,0,0,0,12800851300.0,13603456000.0,15100203400.0,16623906700.0,18659721500.0,21717433800.0,25721328000.0,27791215500.0,30231009500.0,35687738300.0,41595439700.0,46949496500.0,51427104900.0,55767806100.0,59760858700.0,64327688800.0,67316471200.0,69778991200.0,57059846500.0,67396392500.0,76276116700.0,83318176900.0,1,1374730.0,1985603.0,2811080.0,5590922.0,3386074.0,3480049.0,3404393.0,3382455.0,2968171.0,2269583.0,1839498.0,1101565.0,1500646.0,1854578.0,1621270.0,1099306.0,1112257.0,576.983,758.13,1310116.0,57
Ecuador,3733226.0384776806,1,1,1,1,0,0,0,27054197000.0,30965208000.0,35194947000.0,40278849000.0,45690762000.0,49848725000.0,61139438000.0,60094978000.0,68151329000.0,78986648000.0,87735048000.0,96570334000.0,102717794000.0,97209558000.0,97671433000.0,104467486000.0,107478962000.0,107595829000.0,95865472000.0,107435101000.0,116586079000.0,118844826000.0,1,315.504,373.155,405.318,600.469,428.357,874.94,855.978,817.261,871.473,469.907,379.701,340.06,481.08,688.791,228.917,287.442,554.3,560.419,572.565,231.681,83
Mauritania,0.10026121052631579,1,1,1,1,0,0,0,1777057481.2604308,2051147606.736874,2362501023.2424912,2936019525.60241,3919577285.927029,4346212355.029747,5206437193.804133,4714595547.751017,5628878797.982574,6764627745.903299,6728208836.221428,7223071097.084169,6592537781.815179,6166863896.686766,6398747592.131846,6800135898.288272,7473550557.073785,7894764885.823116,8260752385.230893,9222536364.012722,9557966698.253689,10651709411.459427,0,2.929,1.385,10.091,7.349,-62.0,1.717,8.536,4.369,-6.775,-7.5,-32.845,-28.521,-18.051,-25.795,-28.827,-20.573,-19.311,-23.302,-29.082,-20.468,164
Turkmenistan,161475.45890638462,1,1,1,1,0,0,0,4462029108.723494,5977440582.801714,6838351088.466884,8103901996.370235,10276674364.896074,12664165103.189493,19271523178.807945,20214385964.91228,22583157894.736843,29233333333.333332,35164210526.31579,39197543859.649124,43524210526.31579,35799714285.71429,36169428571.42857,37926285714.28571,40765428571.42857,45232857142.85714,45818000000.0,50007428571.42857,58972000000.0,60628857142.85714,0,5.119,4.179,6.188,22.187,65.513,109.086,242.242,192.672,141.104,192.897,182.108,361.503,130.923,19.774,13.17,68.995,8.802,8.508,16.924,56.25,94
Djibouti,0.250103625,1,0,1,1,0,0,0,591122039.6013976,622044665.5150489,666072101.7775052,708633194.7265658,768873684.032838,847918929.1079838,999105339.2677286,1049110684.724934,1128611700.361803,1239144501.7752545,1353632941.520698,2042817162.8563871,2214679081.256576,2424391785.4389744,2604955228.701166,2762581334.2261186,2913466732.1250725,3088853638.568318,3185150981.032067,3385825228.8699703,3674298479.076755,4098530513.5577674,0,15.31,20.265,19.317,33.519,41.474,25.655,47.543,93.775,63.481,57.925,53.668,77.672,82.983,50.667,29.424,63.438,33.608,39.165,30.819,38.988,171
Malawi,562977.5778522308,1,1,1,1,0,0,0,5087328437.873696,4669789300.356621,5058726350.488958,5320409651.475436,5818279739.143541,6451210219.116831,7743617352.21427,9009887946.820395,10128323010.604923,11648142958.365147,8773203178.16512,8031571927.620549,8801326169.14547,9219474379.315342,7909868618.46366,8943543793.583902,9879231591.524342,11051865579.812103,11769313597.85449,12378129750.98716,12429060150.74196,12712150082.079203,0,4.445,2.843,-12.148,-7.024,-17.967,-12.46,1.835,-6.418,-31.023,-7.592,-1.349,-13.841,-15.747,8.121,-11.699,-3.26,3.238,4.715,-6.04,-9.319,172
Jamaica,55626.3665390625,1,1,1,1,0,0,0,9719009494.847792,9430234810.785856,10174664853.947565,11243865777.713053,11930179089.885475,12799600047.184536,13709401520.032595,12120458114.8318,13220549908.249386,14444661522.146338,14807086555.528315,14264205152.61263,13899217721.681784,14188936958.4343,14077096714.127937,14808985171.344065,15730792835.581057,15830766570.726608,13812421803.408361,14657586127.033125,17097760723.920145,19423355409.231567,0,15.854,18.651,21.822,22.276,13.861,29.953,5.046,22.15,21.096,12.923,9.386,18.513,22.31,33.086,30.891,16.92,27.038,40.508,46.119,409.0,115
Mongolia,8107026.131645818,1,1,1,1,0,1,0,1396555719.9740865,1595297355.7834878,1992066808.0959773,2523471601.104208,3414055661.6159754,4234999703.900587,5623216608.042884,4583850367.88972,7189481998.900941,10409797377.857065,12292770631.564991,12582122604.257748,12226514668.062176,11619892590.694118,11181350649.357347,11480847740.73598,13178094720.498564,14206359017.514322,13312981429.08905,15286441737.668615,17146471713.748024,20325121393.907364,0,72.726,103.866,149.029,207.081,145.408,152.792,289.251,379.859,372.619,323.223,199.9,198.364,214.222,280.84,258.51,250.608,360.037,388.104,413.649,546.58,96
Madagascar,758019.9802392353,1,1,1,1,0,0,0,5351701663.408074,6372498889.665848,5064732626.293891,5859269752.61332,6395712490.943041,8524620889.577468,10725137723.654873,9616879409.437893,9982711338.07029,11551819617.874023,11578975061.947945,12423555455.38532,12522957399.228104,11323020701.301685,11848613858.441998,13176313593.550934,13760033282.292511,14104664678.506332,13051441203.947355,14554754116.542673,15134700203.049707,15790113246.747774,0,13.142,14.386,25.51,75.393,58.958,45.66,23.571,23.339,44.642,-96.847,-61.401,-40.075,-16.391,-59.019,-86.546,-21.145,23.741,-81.164,-185.007,-82.279,177
Namibia,0.08303565384615386,1,1,1,1,0,0,0,3349169826.3889647,4926439383.514245,6609205994.7740555,7248374837.720556,8001779551.063232,8839536475.999632,8607431497.49471,8938847189.075916,11431412421.13161,12523359440.549862,13042053591.685684,12043307277.123508,12435430969.630136,11335161083.506102,10722018732.093588,12895153370.91319,13682019076.402178,12541928303.47997,10583748541.525812,12402486183.639603,12567271004.676123,12351025066.91312,0,-20.798,-79.179,-95.901,-16.584,-3.249,-5.145,-31.765,-63.404,-42.509,-106.176,-66.245,-42.142,-19.899,-18.465,-55.058,-21.141,-7.145,-6.97,-97.738,-118.289,142
Seychelles,0.03339957142857143,1,0,0,1,0,0,0,742134837.5091902,750847230.0992627,893012218.1818181,977899381.8181819,1081441283.3179822,1077308813.829454,979597394.2934532,850901620.433301,981616542.3284543,1058918707.2612364,1089407839.1970947,1333160407.3851607,1387577870.0816104,1432403352.1294434,1568513348.1446254,1675370641.0141618,1784313926.768066,1868690096.7345412,1382551751.5690813,1487173794.8052788,2057968519.830909,2141450171.1393213,0,5.202,5.698,8.151,7.558,7.24,10.113,17.476,26.125,20.563,20.691,11.786,12.262,12.991,13.153,10.156,8.737,8.158,9.812,8.487,8.698,67
Syrian Arab Republic,42465.653225,1,1,1,1,0,0,0,20669357462.383083,21828144686.03942,25086950495.049503,28858965517.24138,33751788856.304985,40465318382.05847,52557913568.9549,54111735628.70651,61390830874.700714,67539428159.44738,43190318032.56269,21361254635.051037,21502061465.949757,16466863117.000916,12597854877.425447,16369843352.345343,21497782867.642567,22583045060.08206,12047752036.091032,14353205678.499138,23622827079.50465,30088249611.09719,0,388.457,453.814,601.22,704.014,869.676,1104646.0,778.533,431.855,444.344,421.943,209.244,187.623,215.863,149.109,141.77,51.806,27.931,21.21,16.305,14.18,157
Gabon,0.143602425,1,1,1,1,0,0,0,5335451099.882229,6511903365.475535,7770219008.212934,9582783990.853455,10327598306.457499,12455409587.337097,15571348344.337933,12113699068.251694,14372593020.288502,18210307743.581623,17170464016.059284,17595744798.339832,18203966895.84335,14383107762.695183,14023890265.366455,14929487485.162275,16867326401.962582,16874405465.391039,15342236163.986422,19444935097.23948,20440655695.180443,19388402541.669777,0,-82.697,-10.796,-5.189,-58.728,-200.044,-17.464,-1.132,-281.825,-177.815,-625.427,-361.027,-283.131,-88.391,-547.829,-314.485,-154.586,-595.079,-708.668,-69.684,-2.33,123
Burundi,79610.22152376316,1,1,1,1,0,0,0,825394519.4237278,784654423.6204764,915257323.3960996,1117113079.736455,1273375078.4484448,1356199387.4230778,1611835857.0458813,1781455139.8593144,2032135192.0124843,2235820809.3200555,2333341334.457535,2451606632.292456,2705783329.804834,3104003546.264973,2644487776.500767,2723586962.8403373,2667182199.51333,2576518879.823531,2649680261.442985,2775798697.4602237,3338722827.656905,2642161668.8521075,0,1.024,693.0,568.0,150.0,733.0,270.0,482.0,678.0,418.0,2.136,1.115,827.0,2.692,2.466,353.0,1.328,2.216,1.905,2.731,982.0,187
Morocco,932266.4850380152,1,1,1,1,0,0,0,47077192187.64177,58029363354.27568,66114145451.00669,68852658068.66728,75883823300.85452,86947913286.72797,101822906949.06343,101154952240.8807,100865329473.43983,110080631332.37535,106937392311.12907,115739287305.0801,119130841411.66359,110413823841.59187,111572947004.91748,118540573367.84428,127341147581.81831,128920266409.4575,121353645057.14369,142022058447.23093,130951926351.24097,144417103249.64584,0,152.351,135.396,284.877,217.478,193.271,169.295,225.06,290.372,126.973,71.418,195.289,384.842,87.916,149.808,162.454,99.944,87.53,97.765,214.46,175.456,120
Belarus,30992.89647905556,1,1,1,1,0,0,0,14594900944.765818,17825444724.487755,23141566292.94622,30210091836.82945,36961894281.34442,45275711995.82495,60752106347.12601,50873167326.04142,57231904542.87547,61762382327.93193,65685890438.89215,75527558966.44727,78812805039.07434,56454889146.60878,47723545321.25899,54725302249.808784,60031173807.719635,64410122847.3508,61371755326.2351,69673747131.86996,73775179924.60303,71857382745.6066,0,13.678,24.559,21.901,36.976,15.422,9.078,49.23,5.851,41.743,-3.928,-55.0,-8.694,-15.962,-12.21,-8.263,13.689,-12.937,23.283,59.836,82.231,69
Chile,0.08552434782608696,1,1,1,1,1,0,0,70264045939.13216,76492579644.06053,99075985773.176,122294145162.83487,153843518171.4301,172491076033.86267,179894594475.97992,171777900623.17734,217051209240.29752,251382573885.5944,267024782480.28046,277395018837.36597,259560978231.5518,242450355827.82703,249344863933.46103,276154259987.10345,295857562991.70905,278285058719.4661,254042159309.31055,315515014838.5395,302116539409.02985,335533331669.2191,1,-1128175.0,-2246814.0,-1068726.0,-1095511.0,-874.238,-1274341.0,-2476506.0,-2207126.0,-2196136.0,-2728411.0,-2669642.0,-2090500.0,-2271932.0,-2672095.0,-2752452.0,-2660525.0,-3285750.0,-5291325.0,-6325638.0,-3472641.0,44
Kenya,2517886.4673586763,1,1,1,1,0,0,0,13147736898.517572,14904517649.847567,16095337093.836597,18737895512.737766,25825512284.289078,31958195182.240604,35895153327.849686,42347217912.91757,45405615063.75513,46869473150.60999,56396704671.57766,61671440407.83867,68285796514.28962,70120446896.8359,74815144163.89308,82036510877.25989,92202979985.2863,100378436207.37134,100657505750.545,109703658904.99373,114448978152.6374,108038588970.59505,0,66.679,199.743,128.949,150.625,159.08,223.45,197.343,235.157,228.821,316.414,227.858,57.873,164.853,188.562,107.534,183.223,211.608,380.868,216.547,133.15,146
Nicaragua,3943374.8014735156,1,1,1,1,0,0,0,5223727302.549062,5322228350.580679,5792932838.40051,6321324455.169406,6763688874.637322,7423419479.825498,8496948184.420421,8298687305.663541,8758572306.31602,9774320144.00049,10531980451.184729,10982954744.441486,11880433902.936106,12756685550.338875,13286101094.386347,13785924216.272446,13025234820.822504,12699028889.666014,12681569254.28154,14144060853.136162,15649897116.896496,17829218219.35911,1,128.416,143.709,174.34,253.997,161.677,148.018,144.404,143.988,164.336,160.578,136.061,116.289,95.213,80.817,50.063,8.266,28.689,609.0,35.084,31.123,130
Oman,0.041390222222222224,1,1,1,1,0,0,0,23065539661.898567,24733680104.031208,28378933680.10403,35506892067.620285,42577633289.98699,48300390117.03511,69804681404.42133,55454096228.86866,64993498049.414825,77497529258.77763,87408842652.79582,89936020806.24187,92699089726.91808,78710793237.97139,75128738621.58647,80856697009.10272,91505851755.52666,88060858257.47723,75909492847.85435,87323797139.14174,111943823146.94408,108810923276.9831,1,-3400802.0,-4784385.0,-3271419.0,-4806102.0,-3593897.0,-3431803.0,-4455804.0,-4382093.0,-3776032.0,-3440307.0,-1948819.0,-1751670.0,-1691818.0,-2100586.0,-2035681.0,-1566086.0,-2611235.0,-4955499.0,-4862090.0,-5027949.0,59
Burkina Faso,80427.63065455813,1,1,1,1,0,0,0,3622350062.9605265,4740768142.674943,5451688537.6095915,6146353173.349286,6547419820.381131,7625722836.768471,9451435490.114674,9450696873.343262,10109619740.699419,12080295977.563232,12561015156.568285,13444300485.841228,13943016076.743608,11832159315.62978,12833363045.336655,14106955615.344177,15890066221.288244,16032813503.37069,17725010532.52676,19697516284.378677,18820218690.594765,20324617844.526535,0,-1.925,2.836,7.277,17.595,18.13,17.933,16.219,26.781,26.617,18.014,15.067,20.678,29.082,29.026,26.648,30.852,43.144,34.731,36.068,22.763,185
Ukraine,74752.73799246938,1,1,1,1,0,1,0,43956163612.043274,52010355753.04612,67220154164.316605,89238865118.52626,111884752475.24753,148733861386.1386,188110390659.51477,121552153444.12442,141209170427.2334,169333835201.5541,182591753827.94882,190498811460.02753,133503871861.7233,91030967789.07175,93355869403.92232,112090505081.73862,130891088293.54999,153883047509.57697,156617722013.3422,199765859570.9353,161989520721.1905,178757021965.0084,0,406.382,666.056,1251531.0,948.865,-366.515,-65.505,289.698,391.627,188.965,-419.725,-467.258,-250.18,-280.828,-45.201,-106.619,-232.396,272.95,-487.92,-274.958,-118.118,100
Senegal,4114312.392865153,1,1,1,1,0,1,0,7006402319.758565,8768721563.182106,10076816666.619638,11009033437.93904,11697918243.00349,13994218412.961872,16853989627.548038,16145867494.940493,16121315909.07576,17814283639.311874,17660870411.523518,18918667724.881683,19797253440.267914,17774766696.175896,19040312333.186382,20996562943.59792,23116701556.138107,23403995992.135414,24530513037.751846,27520784129.750805,27619479059.613056,30848333083.705544,0,13.289,17.957,24.164,33.923,35.377,31.429,41.716,17.652,13.486,73.887,83.526,175.853,17.299,60.107,36.383,36.754,50.112,38.263,67.279,123.22,169
Jordan,4750510.353958746,1,1,1,1,0,0,0,9582510578.279266,10195627644.569817,11411706629.055008,12588998589.562765,15056981664.315939,17110437235.543018,22658715989.330204,24537876056.338028,27133804225.352116,29524149154.92958,31634561690.140846,34454440140.84507,36847643521.12676,38587017887.323944,39892551126.76057,41608435915.49296,43370860704.22536,44503006338.02817,43700383098.59155,46296100140.84507,48764963380.28169,50967475352.11268,0,427.817,315.897,338.257,679.569,987.901,1229834.0,1150153.0,1326389.0,1249824.0,1305469.0,771.085,571.09,576.012,465.593,436.828,386.336,562.652,675.596,696.144,469.077,99
Chad,934599.0995408695,1,0,1,1,0,0,0,1997005708.8157554,2742815071.5743995,4422855660.82592,6649307523.643773,7428701453.9150915,8650137743.325472,10393833765.365057,9290728318.988207,10668103554.119226,12172308851.039494,12367362757.134161,12953534866.428648,13940767218.584887,10950392256.954294,10097778098.170738,10000394381.017702,11239167898.339537,11314951091.728327,10715396042.334282,11779981332.863146,12396807588.408154,13149325362.33467,0,-52.868,-56.975,-437.0,2.023,5.318,2.859,354.0,698.0,1.47,1.455,3.266,-18.233,1.472,1.152,1.632,895.0,870.0,671.0,-89.37,2.972,189
Costa Rica,107796.90006187097,1,1,1,1,1,0,0,16578820687.28809,17271760506.948277,18610594846.208298,20040642476.98167,22715540324.303177,26884700709.314575,30801745700.451355,30745714312.641666,37658616951.80379,42762613698.96356,47231655431.73545,50949668841.66961,52016408854.26584,56441920820.519424,58847019609.6549,60516044656.5206,62420164991.537445,64417670521.35451,62395610760.04924,64960725734.19655,69243626028.59358,86497941439.01744,1,128.908,178.71,132.276,124.558,-17.195,56.866,135.345,44.252,-35.128,-48.254,95.521,84.035,29.175,-71.995,-105.896,-44.865,-229.664,40.768,124.171,61.305,64
Marshall Islands,0.1313892142857143,1,1,1,1,0,0,0,131960000.00000001,131128500.0,132900000.0,138000000.0,143200000.0,150500000.0,146600000.0,151200000.0,161100000.0,172300000.0,180700000.0,186400000.0,186000000.0,183700000.0,201800000.0,213700000.0,220000000.0,232900000.0,241800000.0,258899999.99999997,253400000.0,259300000.0,0,1140971.0,965.535,2278775.0,4759247.0,9632354.0,4686047.0,6994649.0,3814539.0,7249700.0,7990803.0,7466682.0,7595239.0,6840099.0,1892638.0,3293702.0,4840488.0,3165340.0,3217627.0,5919391.0,2535555.0,102
Croatia,0.025531,0,0,0,1,0,0,0,26757722428.678143,35245317001.822365,41836292157.33347,45013119281.80604,49590197656.5482,59298265769.99456,68478776205.98263,62321642125.17209,58981738868.75296,62903737379.78343,57551963753.210396,59852401272.32039,59612144078.413345,51005200669.69412,52654855638.1057,56186190437.99587,61668130122.58781,61467582193.682434,57963370885.07977,69006802298.6956,71198635101.95143,84393795502.44211,1,78.171,62.747,156.521,98.097,48.762,98.41,59.108,29.082,29.709,78.431,289.925,434.969,311.566,222.267,214.608,73.91,108.143,16.987,23.241,53.638,39
Iraq,3309552.701499277,1,1,1,1,0,0,0,32928454672.42459,21921569478.81626,36633669269.3981,50065104667.8159,65147051918.02187,88837057319.51791,131614434153.50531,111657580326.31511,138516722649.57266,185749664444.44446,218002476129.47165,234637675128.64493,228415656174.95712,166774104959.10168,166743557747.67148,187217660050.6757,227367469034.03085,233636097800.33844,180898797516.8744,209691945713.10345,286640340965.5172,250842782139.46417,0,-607.124,-796.78,-2869915.0,-3859252.0,-3027694.0,-3226948.0,-7602500.0,-8360749.0,-7292280.0,-4888207.0,-4836631.0,-3594769.0,-4910308.0,-7662397.0,-6050667.0,-3333234.0,-4337127.0,-8333092.0,-6703294.0,-7780182.0,128
Tuvalu,38274.06190466667,1,1,1,1,0,0,0,16842672.59528742,19456338.031822786,22798274.979555093,22909979.81630778,24096875.463582467,28450168.692764957,31874434.857881963,28076983.9703819,32105408.47711205,39196957.4908996,39345579.47237578,38615890.63207455,38760982.65400955,36811936.082458735,41629064.22323883,45276595.353314556,48015259.87513561,54123198.5662913,51746594.31485426,60196405.71383929,59065982.08736571,62280311.585217156,0,90.0,58.0,33.0,80.0,79.0,128.0,238.0,-2.686,-541.0,177.0,-180.0,280.0,4.781,186.0,277.0,9.204,10.472,2.462,-509.0,3.652,132
Cambodia,13635934.439028611,1,1,1,1,0,1,0,4501227626.6275215,5046693484.317668,5883297159.873515,7066296463.359804,8350531016.657529,10127916459.89827,12174303999.08125,12502901169.737713,13808673288.069561,16032622023.826536,17826536699.801636,19807135252.864857,22041463967.90093,24174170369.07381,26556545153.3573,29355665909.790527,33145892168.89583,36685356407.72062,34818073901.485085,36790163687.442055,39994532959.60738,42335646895.798386,1,138.318,199.632,272.553,280.005,255.121,289.553,363.437,466.936,478.39,460.552,436.316,333.502,342.576,346.68,360.736,249.421,282.125,232.796,97.872,150.876,148
Lebanon,263303.87676339474,1,1,1,1,0,0,0,19152238805.97015,20082918739.63516,21159827992.039803,21497336498.839138,22022709851.40962,24827355014.925373,29118916105.472637,35399582928.68988,38443907042.12272,39927125961.5257,44016799515.75456,46880103080.597015,48095213746.600334,49929337836.81592,51147308774.12936,53027680685.90382,54901519155.55556,51605959131.27413,31712128253.796097,23131941556.784348,20992421948.808086,35574872982.2214,0,80.299,72.253,109.311,198.809,178.127,265.376,241.934,319.995,312.65,276.208,229.437,181.037,146.677,138.784,-286.463,58.88,61.556,67.108,56.473,54.19,109
Ghana,4293249.80955829,1,1,1,1,0,1,0,6166197847.850311,7632723555.66221,8881417906.714323,10744568381.44561,20885037596.696342,24827339138.49064,28679383241.07291,26048720005.52326,32197655566.534706,39336668080.55898,41271701060.95403,62824629066.04083,54783319817.370514,49406010054.266335,56164929304.8754,60405924078.72783,67298914624.372314,68337969247.70674,70043099675.68001,79524421861.27426,74263364041.87419,76370396722.15402,0,81.902,78.819,127.969,179.055,137.502,191.313,297.671,252.329,313.775,182.253,212.812,185.453,205.633,188.789,147.694,188.687,260.766,171.956,151.725,133.688,145
