,Obs_mean,Economic infrastructure and services,Multi-sector / Cross-cutting,Production sectors,Social infrastructure and services,OECD,KOICA,Guerra de Corea,PIB_promedio,TLC,Balanza_promedio,hdr_value
Senegal,4114312.392865153,1,1,1,1,0,1,0,18214400351.048588,0,49.583800000000004,169
Jordan,4750510.353958746,1,1,1,1,0,0,0,30928556684.68411,0,313501.44269999996,99
Chad,934599.0995408695,1,0,1,1,0,0,0,9787348024.814135,0,142.85865,189
Costa Rica,107796.90006187097,1,1,1,1,1,0,0,45454963995.63723,1,34.14465,64
Marshall Islands,0.1313892142857143,1,1,1,1,0,0,0,185340386.36363637,0,4765740.57675,102
Croatia,0.025531,0,0,0,1,0,0,0,56953994583.18423,1,124.41460000000002,39
Iraq,3309552.701499277,1,1,1,1,0,0,0,156997266920.89468,0,-4933532.4952,128
Tuvalu,38274.06190466667,1,1,1,1,0,0,0,38257995.22435324,0,21.194249999999997,132
Cambodia,13635934.439028611,1,1,1,1,0,1,0,20864802093.872173,1,301.86985000000004,148
Lebanon,263303.87676339474,1,1,1,1,0,0,0,35574872982.221405,0,138.13205,109
Ghana,4293249.80955829,1,1,1,1,0,1,0,43913381403.44754,0,184.48955,145
Pakistan,2887887.629826,1,1,1,1,0,1,0,246468459575.81567,0,61291.57165000001,164
Sierra Leone,1518460.3650751766,1,1,1,1,0,0,0,5073672245.974828,0,50.741749999999996,184
Samoa,26360.796488522727,1,1,1,1,0,0,0,702853859.2592862,0,22.1293,116
Uruguay,0.0586831875,1,0,1,1,0,0,0,45590741247.48067,0,63.70145,52
Lesotho,0.10995049999999999,1,1,1,1,0,0,0,2040160311.1586082,0,66.24820000000001,168
Kiribati,86978.21012642553,1,1,1,1,0,0,0,183217465.63004684,0,30.251799999999996,137
Equatorial Guinea,0.09585244,1,1,1,1,0,0,0,13084237738.264816,0,-52807.404650000004,133
Tunisia,715986.3146220142,1,1,1,1,0,0,0,41616615466.93569,0,70.77304999999998,101
Angola,3885600.785604038,1,1,1,1,0,0,0,74254115581.68187,0,362743.5963999999,150
Colombia,4688858.414438609,1,1,1,1,1,1,1,268035244185.4902,1,221647.01599999997,91
Guinea-Bissau,0.11034172222222222,0,0,1,1,0,0,0,1146364099.0871062,0,105.8243,179
Bangladesh,15076827.702897124,1,1,1,1,0,1,0,200434660021.66934,0,391624.7757,129
Uzbekistan,6224925.3190882085,1,1,1,1,0,1,0,53819380026.03462,0,1318697.3121500001,106
Honduras,2101841.1257640626,1,1,1,1,0,0,0,18586549826.523678,1,66.13645,138
Uganda,2941594.35681947,1,1,1,1,0,1,0,25812141748.111744,0,10.45775,159
Azerbaijan,1928901.5398288383,1,1,1,1,0,0,0,45287927427.15168,0,138.42805,89
Barbados,0.034682,0,0,1,1,0,0,0,4965366513.636364,0,8.97825,62
Comoros,98544.54952066667,1,0,1,1,0,0,0,970198980.0775672,0,97.3785,152
South Africa,0.1450167,1,1,1,1,0,0,1,347203008455.9854,0,-692069.1026000001,110
Palau,0.08733634285714285,1,1,1,1,0,0,0,227143036.5056818,0,7.931300000000002,71
Rwanda,3191008.217965761,1,1,1,1,0,1,0,7250873202.47821,0,18.81265,161
Botswana,47913.922065136365,1,0,1,1,0,0,0,13475700987.139439,0,5.256399999999999,114
Suriname,0.11390858823529412,1,1,1,1,0,0,0,3458532210.959034,0,7.609599999999999,124
Papua New Guinea,171051.14286314516,1,1,1,1,0,0,0,17315560013.89593,0,-77358.44464999999,154
Eritrea,0.030365222222222224,1,1,0,1,0,0,0,1322758643.3927844,0,11.638499999999999,175
Cuba,84716.61129126923,1,1,1,1,0,0,0,69100121059.04915,0,68.50864999999999,85
Trinidad and Tobago,0.046780249999999995,1,0,0,1,0,0,0,22537663909.67262,0,-202.98010000000005,60
Guyana,0.20116466666666666,1,0,1,1,0,0,0,4669500139.168301,0,24.6596,95
Paraguay,3399458.633818071,1,1,1,1,0,1,0,28927964801.09616,0,72.82159999999999,102
Timor-Leste,1441884.0427360146,1,1,1,1,0,0,0,1347428613.6363637,0,5.677400000000004,155
Niger,48706.21572376,1,0,1,1,0,0,0,9295631270.558918,0,-16.122,189
Kazakhstan,515435.2412710968,1,1,1,1,0,0,0,150131129216.47095,0,-215133.24575,67
Antigua and Barbuda,0.0820005,1,1,0,1,0,0,0,1414549663.2996633,0,-36.25959999999999,54
Mauritius,0.06724533333333334,1,0,1,1,0,0,0,10675131618.761208,0,35.10090000000001,72
Indonesia,9115239.886160208,1,1,1,1,0,1,0,777024559539.1329,1,-2604223.8186999997,112
Togo,63774.83535264516,1,1,1,1,0,0,0,5523182573.476317,0,278910.14005,163
Bosnia and Herzegovina,3975133.5496340003,1,1,1,1,0,0,0,17296564024.795773,0,-3.3755499999999996,80
Zambia,64622.984388584904,1,1,1,1,0,0,0,19217611033.77113,0,-233.30614999999997,153
Liberia,78246.70685467648,1,1,1,1,0,0,0,2490283495.4545455,0,3258283.35,177
